%DATE 30-Jun-2023
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 900
%DetectorDepth 100
# DATA: 6FFF RDF at d=10cm
  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40,
 16,0.7982,0.8699,0.9086,0.9378,0.9606,0.9786,0.9937,1.0064,1.0171,1.0261,1.0339,1.0404,1.0461,1.0509,1.0553,1.0591,1.0626,1.0657,1.0684,1.0709,1.0732,1.0751,1.0769,1.0785,1.08,1.0812,1.0824,1.0834,1.0844,1.0852,1.0859,1.0865,1.087,1.0875,1.088,1.0884,1.0886,1.089,1.0892,1.0894,
 17,0.7986,0.8706,0.9096,0.9392,0.962,0.9804,0.9956,1.0086,1.0195,1.0288,1.0366,1.0434,1.0492,1.0542,1.0586,1.0627,1.0662,1.0694,1.0724,1.0749,1.0772,1.0793,1.0812,1.0829,1.0844,1.0858,1.087,1.088,1.089,1.0898,1.0906,1.0913,1.0918,1.0924,1.0928,1.0932,1.0936,1.0938,1.0942,1.0943,
 18,0.799,0.8712,0.9106,0.9402,0.9634,0.9818,0.9974,1.0105,1.0216,1.0311,1.0391,1.046,1.0519,1.057,1.0617,1.0658,1.0695,1.0728,1.0758,1.0785,1.0809,1.0831,1.085,1.0868,1.0884,1.0898,1.091,1.0922,1.0932,1.0941,1.0949,1.0956,1.0962,1.0968,1.0973,1.0976,1.0981,1.0984,1.0986,1.0987,
 19,0.7993,0.8718,0.9114,0.9412,0.9645,0.9832,0.9989,1.0122,1.0235,1.033,1.0412,1.0482,1.0543,1.0596,1.0642,1.0685,1.0723,1.0758,1.0788,1.0816,1.0842,1.0865,1.0885,1.0903,1.092,1.0935,1.0949,1.096,1.0971,1.098,1.0989,1.0996,1.1003,1.1008,1.1014,1.1018,1.1021,1.1024,1.1027,1.1028,
 20,0.7996,0.8722,0.912,0.942,0.9655,0.9844,1.0003,1.0137,1.0252,1.0349,1.0432,1.0502,1.0564,1.0618,1.0666,1.0709,1.0748,1.0784,1.0816,1.0844,1.087,1.0894,1.0916,1.0935,1.0952,1.0968,1.0982,1.0995,1.1006,1.1016,1.1025,1.1033,1.104,1.1046,1.105,1.1054,1.1058,1.1061,1.1064,1.1065,
 21,0.7998,0.8728,0.9128,0.9428,0.9664,0.9856,1.0016,1.0151,1.0266,1.0364,1.0448,1.052,1.0583,1.0638,1.0686,1.073,1.077,1.0807,1.084,1.0869,1.0896,1.0922,1.0944,1.0964,1.0982,1.0998,1.1014,1.1027,1.1038,1.1048,1.1058,1.1067,1.1074,1.108,1.1084,1.1089,1.1092,1.1096,1.1098,1.1099,
 22,0.8001,0.8732,0.9134,0.9435,0.9673,0.9866,1.0027,1.0164,1.028,1.0379,1.0463,1.0536,1.06,1.0654,1.0705,1.0749,1.079,1.0827,1.0862,1.0892,1.092,1.0946,1.0969,1.0989,1.1008,1.1026,1.1041,1.1055,1.1067,1.1078,1.1088,1.1097,1.1104,1.1111,1.1116,1.112,1.1124,1.1126,1.1128,1.1129,
 23,0.8004,0.8736,0.9138,0.9442,0.968,0.9874,1.0037,1.0175,1.0292,1.0392,1.0477,1.055,1.0614,1.067,1.072,1.0766,1.0808,1.0846,1.0881,1.0913,1.0942,1.0968,1.0992,1.1014,1.1033,1.1051,1.1067,1.1082,1.1094,1.1106,1.1116,1.1125,1.1132,1.1138,1.1144,1.1149,1.1152,1.1155,1.1156,1.1157,
 24,0.8006,0.874,0.9143,0.9447,0.9688,0.9882,1.0046,1.0185,1.0303,1.0403,1.049,1.0562,1.0627,1.0684,1.0736,1.0782,1.0825,1.0863,1.0898,1.0931,1.096,1.0988,1.1012,1.1035,1.1056,1.1074,1.109,1.1106,1.1119,1.113,1.1141,1.115,1.1158,1.1165,1.117,1.1174,1.1178,1.118,1.1182,1.1183,
 25,0.8008,0.8743,0.9148,0.9452,0.9694,0.989,1.0055,1.0194,1.0312,1.0414,1.05,1.0574,1.0639,1.0696,1.0748,1.0796,1.0838,1.0878,1.0914,1.0948,1.0978,1.1006,1.1031,1.1054,1.1075,1.1094,1.1112,1.1127,1.1141,1.1154,1.1164,1.1174,1.1182,1.1188,1.1194,1.1199,1.1202,1.1204,1.1206,1.1206,
 26,0.8009,0.8746,0.9151,0.9456,0.9699,0.9897,1.0062,1.0203,1.0321,1.0423,1.051,1.0585,1.065,1.0707,1.076,1.0808,1.0852,1.0892,1.0929,1.0963,1.0994,1.1023,1.1048,1.1072,1.1094,1.1113,1.1131,1.1147,1.1161,1.1174,1.1185,1.1194,1.1203,1.121,1.1216,1.122,1.1224,1.1226,1.1227,1.1228,
 27,0.801,0.8749,0.9155,0.946,0.9704,0.9903,1.007,1.021,1.033,1.0432,1.0518,1.0593,1.066,1.0718,1.0771,1.0819,1.0864,1.0905,1.0942,1.0977,1.1008,1.1038,1.1064,1.1088,1.1111,1.113,1.1149,1.1165,1.118,1.1193,1.1204,1.1214,1.1222,1.123,1.1236,1.124,1.1244,1.1246,1.1247,1.1247,
 28,0.8012,0.8752,0.9158,0.9464,0.9709,0.9909,1.0076,1.0217,1.0337,1.0439,1.0526,1.0602,1.0668,1.0728,1.0781,1.083,1.0874,1.0916,1.0954,1.0989,1.1022,1.1052,1.1079,1.1104,1.1126,1.1147,1.1166,1.1182,1.1197,1.121,1.1222,1.1232,1.124,1.1248,1.1254,1.1258,1.1262,1.1264,1.1265,1.1265,
 29,0.8014,0.8755,0.9161,0.9468,0.9714,0.9914,1.0082,1.0224,1.0344,1.0446,1.0534,1.061,1.0676,1.0736,1.079,1.084,1.0885,1.0928,1.0966,1.1002,1.1034,1.1064,1.1092,1.1117,1.114,1.1161,1.118,1.1198,1.1212,1.1226,1.1238,1.1248,1.1257,1.1264,1.127,1.1274,1.1278,1.128,1.1281,1.1281,
 30,0.8016,0.8758,0.9164,0.947,0.9718,0.992,1.0088,1.023,1.035,1.0453,1.0541,1.0618,1.0684,1.0745,1.0799,1.0849,1.0895,1.0938,1.0976,1.1012,1.1046,1.1076,1.1104,1.113,1.1153,1.1174,1.1194,1.1211,1.1226,1.124,1.1252,1.1262,1.1272,1.128,1.1286,1.129,1.1293,1.1295,1.1296,1.1296,
 31,0.8017,0.876,0.9166,0.9474,0.9721,0.9924,1.0094,1.0236,1.0356,1.0459,1.0547,1.0625,1.0692,1.0752,1.0808,1.0858,1.0904,1.0947,1.0987,1.1023,1.1056,1.1088,1.1116,1.1142,1.1165,1.1187,1.1206,1.1224,1.124,1.1254,1.1266,1.1276,1.1285,1.1292,1.1298,1.1304,1.1306,1.1308,1.131,1.1309,
 32,0.8018,0.8762,0.9168,0.9477,0.9725,0.993,1.0099,1.0241,1.0362,1.0465,1.0554,1.0631,1.07,1.076,1.0816,1.0867,1.0913,1.0956,1.0996,1.1033,1.1067,1.1098,1.1126,1.1152,1.1176,1.1198,1.1218,1.1236,1.1251,1.1265,1.1278,1.1288,1.1297,1.1304,1.1311,1.1316,1.1319,1.1322,1.1322,1.1322,
 33,0.8019,0.8764,0.917,0.9478,0.9729,0.9934,1.0104,1.0246,1.0368,1.0471,1.056,1.0638,1.0707,1.0768,1.0824,1.0875,1.0922,1.0965,1.1006,1.1042,1.1076,1.1107,1.1136,1.1162,1.1187,1.1208,1.1228,1.1246,1.1262,1.1276,1.1288,1.1298,1.1308,1.1316,1.1322,1.1327,1.133,1.1332,1.1334,1.1333,
 34,0.8022,0.8766,0.9172,0.9481,0.9732,0.9938,1.0108,1.0252,1.0372,1.0476,1.0566,1.0644,1.0713,1.0775,1.0832,1.0883,1.093,1.0974,1.1014,1.1052,1.1086,1.1117,1.1146,1.1172,1.1196,1.1218,1.1238,1.1256,1.1271,1.1285,1.1298,1.1308,1.1318,1.1325,1.1332,1.1336,1.134,1.1342,1.1343,1.1344,
 35,0.8022,0.8768,0.9174,0.9483,0.9736,0.9942,1.0113,1.0256,1.0378,1.0482,1.0572,1.065,1.072,1.0783,1.0839,1.0891,1.0938,1.0982,1.1023,1.106,1.1094,1.1126,1.1154,1.1181,1.1204,1.1227,1.1246,1.1264,1.128,1.1294,1.1306,1.1317,1.1326,1.1334,1.134,1.1345,1.1349,1.1352,1.1353,1.1353,
 36,0.8024,0.877,0.9176,0.9486,0.9739,0.9946,1.0118,1.0261,1.0382,1.0487,1.0578,1.0656,1.0728,1.079,1.0847,1.09,1.0947,1.0991,1.1032,1.1069,1.1104,1.1134,1.1164,1.1189,1.1214,1.1235,1.1254,1.1272,1.1288,1.1302,1.1314,1.1324,1.1334,1.1342,1.1348,1.1353,1.1356,1.136,1.1361,1.1362,
 37,0.8026,0.8772,0.9176,0.9488,0.9742,0.995,1.0123,1.0266,1.0388,1.0492,1.0583,1.0663,1.0734,1.0798,1.0856,1.0908,1.0956,1.1,1.104,1.1078,1.1112,1.1143,1.1172,1.1197,1.1221,1.1242,1.1262,1.1279,1.1294,1.1308,1.1321,1.1332,1.134,1.1348,1.1355,1.136,1.1364,1.1366,1.1368,1.1368,
 38,0.8028,0.8774,0.9178,0.949,0.9746,0.9954,1.0127,1.027,1.0392,1.0498,1.0589,1.0669,1.0742,1.0806,1.0864,1.0917,1.0965,1.101,1.105,1.1086,1.112,1.1151,1.118,1.1205,1.1229,1.125,1.1269,1.1286,1.1302,1.1315,1.1326,1.1337,1.1346,1.1354,1.136,1.1366,1.137,1.1373,1.1375,1.1376,
 39,0.8029,0.8776,0.918,0.9492,0.9749,0.9958,1.0132,1.0276,1.0398,1.0503,1.0595,1.0676,1.0749,1.0814,1.0872,1.0926,1.0974,1.1018,1.1058,1.1096,1.113,1.116,1.1188,1.1212,1.1235,1.1256,1.1274,1.1292,1.1307,1.132,1.1332,1.1342,1.1351,1.1359,1.1366,1.1371,1.1375,1.1378,1.1381,1.1382,
 40,0.803,0.8778,0.918,0.9495,0.9752,0.9963,1.0136,1.028,1.0402,1.0508,1.0602,1.0684,1.0756,1.0823,1.0882,1.0935,1.0984,1.1027,1.1069,1.1105,1.1138,1.1168,1.1195,1.122,1.1242,1.1262,1.1281,1.1298,1.1311,1.1325,1.1336,1.1347,1.1356,1.1364,1.137,1.1376,1.138,1.1384,1.1387,1.1388,
