%DATE 30-Jun-2023
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 900
%DetectorDepth 100
# DATA: 6FFF RDF at d=10cm
  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40,
 15,0.7976,0.8684,0.9068,0.9357,0.9583,0.9764,0.9913,1.0037,1.0142,1.0230,1.0305,1.0369,1.0423,1.0471,1.0513,1.0551,1.0584,1.0613,1.0640,1.0664,1.0685,1.0704,1.0721,1.0736,1.0749,1.0761,1.0772,1.0782,1.0791,1.0798,1.0805,1.0811,1.0817,1.0822,1.0826,1.0831,1.0834,1.0838,1.0841,1.0844,
 16,0.7981,0.8692,0.9079,0.9370,0.9599,0.9783,0.9935,1.0062,1.0169,1.0259,1.0336,1.0402,1.0459,1.0509,1.0553,1.0592,1.0626,1.0657,1.0684,1.0709,1.0731,1.0751,1.0768,1.0784,1.0798,1.0811,1.0822,1.0832,1.0842,1.0850,1.0857,1.0864,1.0870,1.0875,1.0880,1.0884,1.0888,1.0892,1.0895,1.0899,
 17,0.7985,0.8699,0.9088,0.9383,0.9614,0.9800,0.9954,1.0083,1.0192,1.0285,1.0364,1.0432,1.0491,1.0542,1.0587,1.0628,1.0663,1.0695,1.0724,1.0750,1.0772,1.0793,1.0811,1.0828,1.0843,1.0856,1.0868,1.0878,1.0888,1.0896,1.0904,1.0911,1.0917,1.0923,1.0928,1.0933,1.0937,1.0941,1.0945,1.0948,
 18,0.7989,0.8705,0.9097,0.9393,0.9627,0.9814,0.9970,1.0102,1.0213,1.0308,1.0389,1.0458,1.0519,1.0571,1.0618,1.0660,1.0697,1.0730,1.0759,1.0786,1.0810,1.0831,1.0850,1.0867,1.0882,1.0896,1.0908,1.0920,1.0930,1.0938,1.0947,1.0954,1.0960,1.0966,1.0972,1.0976,1.0981,1.0985,1.0989,1.0992,
 19,0.7992,0.8710,0.9104,0.9403,0.9638,0.9828,0.9985,1.0118,1.0231,1.0327,1.0410,1.0481,1.0543,1.0597,1.0645,1.0688,1.0726,1.0760,1.0791,1.0818,1.0843,1.0865,1.0885,1.0902,1.0918,1.0933,1.0946,1.0957,1.0967,1.0977,1.0985,1.0993,1.1000,1.1006,1.1011,1.1016,1.1021,1.1025,1.1029,1.1032,
 20,0.7995,0.8715,0.9110,0.9412,0.9649,0.9839,0.9998,1.0132,1.0247,1.0345,1.0429,1.0501,1.0565,1.0620,1.0669,1.0713,1.0752,1.0787,1.0819,1.0847,1.0872,1.0895,1.0916,1.0934,1.0951,1.0966,1.0979,1.0991,1.1002,1.1012,1.1020,1.1028,1.1035,1.1042,1.1047,1.1052,1.1057,1.1061,1.1065,1.1068,
 21,0.7997,0.8719,0.9116,0.9420,0.9658,0.9850,1.0010,1.0145,1.0261,1.0360,1.0446,1.0519,1.0584,1.0640,1.0690,1.0735,1.0775,1.0812,1.0844,1.0873,1.0899,1.0923,1.0944,1.0963,1.0980,1.0996,1.1010,1.1022,1.1033,1.1043,1.1052,1.1061,1.1068,1.1074,1.1080,1.1085,1.1090,1.1094,1.1098,1.1101,
 22,0.8000,0.8723,0.9121,0.9427,0.9667,0.9859,1.0020,1.0157,1.0274,1.0374,1.0461,1.0535,1.0601,1.0658,1.0709,1.0755,1.0796,1.0833,1.0867,1.0896,1.0923,1.0948,1.0970,1.0989,1.1007,1.1023,1.1037,1.1050,1.1062,1.1072,1.1082,1.1090,1.1097,1.1104,1.1110,1.1115,1.1120,1.1124,1.1127,1.1130,
 23,0.8002,0.8726,0.9125,0.9434,0.9674,0.9867,1.0029,1.0167,1.0285,1.0386,1.0474,1.0550,1.0616,1.0674,1.0726,1.0773,1.0815,1.0853,1.0887,1.0918,1.0945,1.0970,1.0993,1.1013,1.1031,1.1048,1.1063,1.1076,1.1088,1.1099,1.1108,1.1117,1.1124,1.1131,1.1137,1.1142,1.1147,1.1151,1.1154,1.1157,
 24,0.8004,0.8729,0.9129,0.9440,0.9682,0.9875,1.0037,1.0176,1.0295,1.0397,1.0486,1.0562,1.0629,1.0689,1.0742,1.0789,1.0832,1.0870,1.0905,1.0937,1.0965,1.0991,1.1014,1.1035,1.1054,1.1071,1.1086,1.1100,1.1112,1.1123,1.1133,1.1141,1.1149,1.1156,1.1162,1.1167,1.1172,1.1175,1.1179,1.1181,
 25,0.8006,0.8732,0.9133,0.9445,0.9688,0.9882,1.0045,1.0184,1.0304,1.0407,1.0496,1.0574,1.0641,1.0702,1.0755,1.0803,1.0847,1.0886,1.0922,1.0954,1.0983,1.1009,1.1033,1.1054,1.1074,1.1091,1.1107,1.1121,1.1134,1.1145,1.1155,1.1164,1.1172,1.1179,1.1185,1.1190,1.1194,1.1198,1.1201,1.1204,
 26,0.8008,0.8734,0.9136,0.9450,0.9694,0.9888,1.0052,1.0192,1.0312,1.0416,1.0506,1.0584,1.0652,1.0713,1.0767,1.0816,1.0861,1.0901,1.0937,1.0970,1.0999,1.1026,1.1050,1.1072,1.1092,1.1110,1.1126,1.1141,1.1153,1.1165,1.1175,1.1184,1.1192,1.1199,1.1205,1.1210,1.1215,1.1218,1.1221,1.1224,
