%DATE 30-Jun-2023
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 900
%DetectorDepth 100
# DATA: 6FFF RDF at d=10cm
  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40,
 15,0.7979,0.8699,0.9080,0.9372,0.9595,0.9771,0.9917,1.0042,1.0147,1.0235,1.0310,1.0373,1.0427,1.0474,1.0515,1.0552,1.0585,1.0615,1.0641,1.0665,1.0686,1.0706,1.0723,1.0738,1.0752,1.0764,1.0775,1.0785,1.0793,1.0801,1.0807,1.0813,1.0818,1.0822,1.0826,1.0829,1.0832,1.0834,1.0835,1.0837,
 16,0.7983,0.8706,0.9092,0.9387,0.9612,0.9790,0.9939,1.0066,1.0173,1.0264,1.0341,1.0406,1.0462,1.0510,1.0553,1.0591,1.0626,1.0657,1.0685,1.0710,1.0732,1.0752,1.0770,1.0787,1.0801,1.0814,1.0826,1.0836,1.0845,1.0853,1.0860,1.0866,1.0871,1.0876,1.0880,1.0883,1.0885,1.0887,1.0889,1.0890,
 17,0.7987,0.8712,0.9103,0.9400,0.9627,0.9807,0.9959,1.0088,1.0198,1.0290,1.0369,1.0435,1.0492,1.0542,1.0586,1.0626,1.0661,1.0694,1.0723,1.0749,1.0772,1.0794,1.0813,1.0830,1.0845,1.0859,1.0872,1.0883,1.0892,1.0901,1.0908,1.0915,1.0920,1.0925,1.0929,1.0932,1.0934,1.0936,1.0938,1.0938,
 18,0.7991,0.8719,0.9114,0.9411,0.9640,0.9823,0.9977,1.0108,1.0219,1.0314,1.0393,1.0461,1.0519,1.0570,1.0615,1.0656,1.0693,1.0726,1.0756,1.0784,1.0808,1.0831,1.0851,1.0869,1.0885,1.0900,1.0913,1.0925,1.0935,1.0944,1.0952,1.0959,1.0965,1.0970,1.0974,1.0977,1.0980,1.0982,1.0983,1.0983,
 19,0.7994,0.8725,0.9123,0.9421,0.9652,0.9837,0.9993,1.0126,1.0239,1.0334,1.0415,1.0483,1.0542,1.0594,1.0640,1.0682,1.0720,1.0755,1.0786,1.0814,1.0840,1.0864,1.0885,1.0904,1.0921,1.0937,1.0951,1.0963,1.0975,1.0984,1.0993,1.1000,1.1006,1.1011,1.1016,1.1019,1.1021,1.1023,1.1024,1.1024,
 20,0.7997,0.8730,0.9131,0.9429,0.9662,0.9850,1.0008,1.0142,1.0256,1.0353,1.0434,1.0503,1.0563,1.0616,1.0663,1.0705,1.0744,1.0780,1.0812,1.0842,1.0869,1.0893,1.0916,1.0936,1.0954,1.0971,1.0985,1.0999,1.1010,1.1021,1.1030,1.1038,1.1044,1.1050,1.1054,1.1057,1.1060,1.1061,1.1062,1.1062,
 21,0.8000,0.8736,0.9139,0.9437,0.9671,0.9861,1.0021,1.0157,1.0272,1.0369,1.0451,1.0521,1.0581,1.0635,1.0682,1.0726,1.0766,1.0802,1.0836,1.0866,1.0894,1.0920,1.0943,1.0964,1.0984,1.1001,1.1017,1.1031,1.1043,1.1054,1.1064,1.1072,1.1079,1.1085,1.1089,1.1093,1.1095,1.1097,1.1097,1.1097,
 22,0.8002,0.8741,0.9146,0.9443,0.9679,0.9872,1.0034,1.0170,1.0286,1.0384,1.0466,1.0537,1.0598,1.0651,1.0700,1.0744,1.0785,1.0822,1.0856,1.0888,1.0917,1.0944,1.0968,1.0990,1.1010,1.1029,1.1045,1.1060,1.1073,1.1085,1.1095,1.1104,1.1111,1.1117,1.1122,1.1125,1.1128,1.1129,1.1129,1.1128,
 23,0.8005,0.8745,0.9152,0.9449,0.9686,0.9882,1.0045,1.0183,1.0299,1.0397,1.0480,1.0551,1.0612,1.0666,1.0715,1.0760,1.0801,1.0840,1.0875,1.0908,1.0938,1.0965,1.0991,1.1014,1.1035,1.1054,1.1071,1.1087,1.1101,1.1113,1.1123,1.1133,1.1140,1.1146,1.1151,1.1155,1.1157,1.1159,1.1159,1.1158,
 24,0.8007,0.8750,0.9157,0.9454,0.9693,0.9890,1.0055,1.0194,1.0311,1.0409,1.0493,1.0563,1.0625,1.0679,1.0729,1.0774,1.0817,1.0856,1.0892,1.0925,1.0956,1.0985,1.1011,1.1035,1.1057,1.1077,1.1095,1.1111,1.1126,1.1138,1.1149,1.1159,1.1167,1.1174,1.1179,1.1182,1.1185,1.1186,1.1186,1.1184,
 25,0.8009,0.8754,0.9163,0.9459,0.9699,0.9898,1.0065,1.0204,1.0321,1.0420,1.0504,1.0575,1.0637,1.0691,1.0741,1.0788,1.0830,1.0870,1.0907,1.0942,1.0973,1.1003,1.1030,1.1055,1.1077,1.1098,1.1117,1.1133,1.1148,1.1162,1.1173,1.1183,1.1192,1.1198,1.1204,1.1208,1.1210,1.1211,1.1211,1.1209,
 26,0.8010,0.8758,0.9167,0.9463,0.9704,0.9906,1.0073,1.0213,1.0331,1.0430,1.0514,1.0585,1.0647,1.0702,1.0753,1.0799,1.0843,1.0884,1.0921,1.0956,1.0989,1.1019,1.1047,1.1072,1.1096,1.1117,1.1136,1.1154,1.1169,1.1183,1.1195,1.1205,1.1214,1.1221,1.1227,1.1230,1.1233,1.1234,1.1233,1.1231,
 27,0.8012,0.8762,0.9171,0.9466,0.9709,0.9912,1.0081,1.0222,1.0340,1.0439,1.0523,1.0594,1.0657,1.0713,1.0763,1.0810,1.0855,1.0896,1.0934,1.0970,1.1003,1.1034,1.1062,1.1088,1.1113,1.1134,1.1154,1.1172,1.1188,1.1203,1.1215,1.1226,1.1234,1.1242,1.1247,1.1251,1.1254,1.1255,1.1254,1.1252,
 28,0.8014,0.8765,0.9175,0.9469,0.9714,0.9918,1.0088,1.0229,1.0348,1.0447,1.0531,1.0603,1.0666,1.0722,1.0773,1.0821,1.0865,1.0907,1.0946,1.0982,1.1016,1.1048,1.1077,1.1103,1.1128,1.1150,1.1171,1.1189,1.1206,1.1220,1.1233,1.1244,1.1253,1.1260,1.1266,1.1270,1.1273,1.1274,1.1273,1.1271,
 29,0.8015,0.8769,0.9178,0.9473,0.9718,0.9924,1.0095,1.0237,1.0355,1.0455,1.0539,1.0611,1.0674,1.0731,1.0782,1.0830,1.0876,1.0918,1.0957,1.0994,1.1029,1.1060,1.1090,1.1117,1.1142,1.1165,1.1186,1.1205,1.1221,1.1236,1.1249,1.1260,1.1270,1.1277,1.1283,1.1287,1.1290,1.1291,1.1290,1.1288,
 30,0.8017,0.8772,0.9181,0.9475,0.9722,0.9929,1.0101,1.0243,1.0362,1.0462,1.0546,1.0619,1.0682,1.0739,1.0791,1.0840,1.0885,1.0928,1.0968,1.1005,1.1040,1.1072,1.1102,1.1130,1.1155,1.1178,1.1200,1.1219,1.1236,1.1251,1.1264,1.1275,1.1285,1.1293,1.1299,1.1303,1.1305,1.1306,1.1306,1.1304,
 31,0.8018,0.8774,0.9184,0.9478,0.9725,0.9934,1.0106,1.0249,1.0368,1.0468,1.0553,1.0626,1.0690,1.0747,1.0800,1.0849,1.0895,1.0938,1.0978,1.1016,1.1051,1.1084,1.1114,1.1142,1.1167,1.1191,1.1212,1.1231,1.1249,1.1264,1.1277,1.1289,1.1298,1.1306,1.1312,1.1317,1.1319,1.1320,1.1320,1.1318,
 32,0.8020,0.8777,0.9186,0.9481,0.9729,0.9939,1.0111,1.0254,1.0374,1.0474,1.0560,1.0633,1.0698,1.0755,1.0808,1.0858,1.0904,1.0948,1.0988,1.1026,1.1061,1.1094,1.1125,1.1153,1.1178,1.1202,1.1223,1.1243,1.1260,1.1276,1.1289,1.1301,1.1310,1.1318,1.1325,1.1329,1.1332,1.1333,1.1332,1.1330,
 33,0.8021,0.8779,0.9188,0.9483,0.9733,0.9943,1.0116,1.0259,1.0379,1.0480,1.0566,1.0640,1.0705,1.0763,1.0817,1.0867,1.0914,1.0957,1.0998,1.1036,1.1071,1.1104,1.1135,1.1163,1.1189,1.1212,1.1234,1.1253,1.1271,1.1286,1.1299,1.1311,1.1321,1.1329,1.1335,1.1340,1.1343,1.1344,1.1344,1.1342,
 34,0.8023,0.8781,0.9189,0.9486,0.9736,0.9947,1.0120,1.0264,1.0384,1.0486,1.0572,1.0647,1.0712,1.0771,1.0826,1.0876,1.0923,1.0967,1.1008,1.1046,1.1081,1.1114,1.1145,1.1173,1.1198,1.1222,1.1243,1.1263,1.1280,1.1295,1.1309,1.1320,1.1330,1.1338,1.1345,1.1349,1.1352,1.1354,1.1353,1.1352,
 35,0.8024,0.8783,0.9190,0.9488,0.9739,0.9951,1.0124,1.0268,1.0389,1.0491,1.0578,1.0653,1.0720,1.0780,1.0834,1.0885,1.0932,1.0976,1.1017,1.1056,1.1091,1.1124,1.1154,1.1182,1.1207,1.1231,1.1252,1.1271,1.1288,1.1303,1.1317,1.1328,1.1338,1.1346,1.1353,1.1357,1.1360,1.1362,1.1362,1.1361,
 36,0.8026,0.8784,0.9192,0.9491,0.9743,0.9954,1.0128,1.0272,1.0393,1.0496,1.0584,1.0660,1.0728,1.0788,1.0843,1.0895,1.0942,1.0986,1.1027,1.1065,1.1101,1.1133,1.1163,1.1191,1.1216,1.1239,1.1260,1.1279,1.1296,1.1311,1.1324,1.1335,1.1345,1.1353,1.1359,1.1364,1.1367,1.1369,1.1370,1.1369,
 37,0.8027,0.8786,0.9192,0.9494,0.9746,0.9958,1.0132,1.0276,1.0397,1.0501,1.0590,1.0667,1.0736,1.0797,1.0853,1.0905,1.0952,1.0997,1.1037,1.1075,1.1110,1.1142,1.1172,1.1199,1.1224,1.1246,1.1267,1.1285,1.1302,1.1317,1.1330,1.1341,1.1350,1.1358,1.1365,1.1370,1.1373,1.1375,1.1376,1.1375,
 38,0.8029,0.8787,0.9193,0.9497,0.9750,0.9961,1.0135,1.0279,1.0401,1.0506,1.0595,1.0674,1.0744,1.0806,1.0863,1.0915,1.0963,1.1007,1.1048,1.1085,1.1120,1.1151,1.1181,1.1207,1.1231,1.1253,1.1273,1.1291,1.1308,1.1322,1.1334,1.1345,1.1355,1.1363,1.1369,1.1374,1.1378,1.1380,1.1381,1.1381,
 39,0.8030,0.8788,0.9193,0.9500,0.9754,0.9964,1.0138,1.0283,1.0405,1.0510,1.0601,1.0681,1.0752,1.0816,1.0873,1.0926,1.0974,1.1018,1.1058,1.1096,1.1130,1.1161,1.1189,1.1215,1.1239,1.1260,1.1279,1.1297,1.1312,1.1326,1.1338,1.1349,1.1358,1.1366,1.1372,1.1377,1.1381,1.1384,1.1386,1.1386,
 40,0.8032,0.8788,0.9193,0.9503,0.9757,0.9967,1.0141,1.0286,1.0409,1.0515,1.0608,1.0689,1.0761,1.0826,1.0884,1.0937,1.0985,1.1029,1.1070,1.1106,1.1140,1.1170,1.1198,1.1223,1.1246,1.1266,1.1285,1.1302,1.1316,1.1330,1.1341,1.1352,1.1361,1.1368,1.1375,1.1380,1.1384,1.1387,1.1389,1.1390,
